County Name,Quarterly Rate,Overdose Type,Type of Rate,Time Measure,Time Period,Year,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude
ADAMS,0.559840756,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,1,1,42,1,39.87209565,-77.22224271
ALLEGHENY,0.918416644,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,2,2,42,3,40.46735543,-79.98619843
ARMSTRONG,0.664187035,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,3,3,42,5,40.81509526,-79.47316899
BEAVER,-3,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,Not displayed when count is between 1 and 4.,4,4,42,7,40.68349245,-80.35107356
BEDFORD,0.268096515,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,5,5,42,9,40.00737536,-78.49116474
BERKS,0.899553783,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,6,6,42,11,40.41939635,-75.93077327
BLAIR,0.531643416,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,7,7,42,13,40.48555024,-78.34907687
BRADFORD,0.367541078,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,8,8,42,15,41.79117814,-76.51825624
BUCKS,0.772427775,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,9,9,42,17,40.33501133,-75.11291241
BUTLER,0.723182001,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,10,10,42,19,40.91083185,-79.91711779
CAMBRIA,1.313851411,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,11,11,42,21,40.49127491,-78.71894174
CAMERON,-2,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,No Emergency Department Identified in County.,12,12,42,23,41.43880265,-78.20916932
CARBON,1.340233546,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,13,13,42,25,40.91936701,-75.71107039
CENTRE,2.062340454,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,14,14,42,27,40.9193135,-77.82500112
CHESTER,0.501893507,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,Less than 100% of Emergency Departments in the County are Under Surveillance.,15,15,42,29,39.97487056,-75.75626498
CLARION,0.370627751,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,16,16,42,31,41.19279129,-79.42483608
CLEARFIELD,0.388393877,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,Less than 100% of Emergency Departments in the County are Under Surveillance.,17,17,42,33,41.000429,-78.47558343
CLINTON,1.136363636,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,18,18,42,35,41.23286274,-77.6428376
COLUMBIA,0.620515804,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,Less than 100% of Emergency Departments in the County are Under Surveillance.,19,19,42,37,41.04912086,-76.4100218
CRAWFORD,0.534188034,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,20,20,42,39,41.68546907,-80.11321083
CUMBERLAND,0.999578491,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,21,21,42,41,40.16759839,-77.26866271
DAUPHIN,0.887542328,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,22,22,42,43,40.41974636,-76.77960568
DELAWARE,1.075289763,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,23,23,42,45,39.91657867,-75.40627712
ELK,0.49833887,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,24,24,42,47,41.42819416,-78.64947713
ERIE,0.662897739,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,Less than 100% of Emergency Departments in the County are Under Surveillance.,25,25,42,49,41.99413787,-80.0407591
FAYETTE,0.776548243,Any Drug Overdose,Percent of Emergency Department Visits Related to Overdose,Quarterly Rates,2016 Q3,2016,2016-07-01,,26,26,42,51,39.9194478,-79.65189635
