Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Address,City,Latitude,Longitude
Adams County Courthouse ,17325,Adams,1,1,1,42,(717) 337-9840,"Monday-Friday, 8am-4:30pm","111 Baltimore Street
Gettysburg, Pennsylvania
",Gettysburg,39.8295,-77.2315
Conewago Twp. Police Dept.,17331,Adams,1,1,1,42,(717) 637-0411,"Monday-Friday, 8am-2pm","541 Oxford Avenue
Hanover, Pennsylvania
",Hanover,39.8197,-77.0229
Cumberland Twp. Police Dept.,17325,Adams,1,1,1,42,(717) 334-3996,"Monday-Thursday, 8am-4pm","1370 Fairfield Road
Gettysburg, Pennsylvania
",Gettysburg,39.8235,-77.2618
Eastern Adams Regional Police Department,17350,Adams,1,1,1,42,(717) 624-1614,"Monday-Friday, 10am-3pm","110 North Berlin Avenue
New Oxford, Pennsylvania
",New Oxford,39.8661,-77.0531
Gettysburg Borough Police Department,17325,Adams,1,1,1,42,(717) 334-1168,"Monday-Friday, 8am-4:30pm","59 East High Street
Gettysburg, Pennsylvania
",Gettysburg,39.8283,-77.2296
Gettysburg College Health Service,17325,Adams,1,1,1,42,(717) 337-6970,Contact location for hours,"250 West Broadway
Gettysburg, Pennsylvania
",Gettysburg,39.838,-77.2369
Liberty Township Police Dept,17320,Adams,1,1,1,42,(717) 642-6103,"Monday-Thursday, 8am-4pm","39 Topper Road,
Fairfield, Pennsylvania
",Fairfield,39.7338,-77.3597
Littlestown Borough Police Department,17340,Adams,1,1,1,42,(717) 359-4511,"Monday-Friday, 7am-3:30pm","10 South Queen Street
Littlestown, Pennsylvania
",Littlestown,39.7446,-77.0878
McSherrystown Police Dept.,17344,Adams,1,1,1,42,(717) 637-1775,Contact location for hours,"336 Main Street
McSherrystown, Pennsylvania
",McSherrystown,39.8038,-77.0192
State Police-Troop H / Gettysburg,17325,Adams,1,1,1,42,NA,NA,"3033 Old Harrisburg Rd.
Gettysburg, Pennsylvania
",Gettysburg,39.8961,-77.187
WellSpan Pharmacy (Fairfield),17320,Adams,1,1,1,42,(717) 642-8812,"Monday-Friday, 9am-6pm; Saturday, 9am-1pm","4910 Fairfield Rd
Fairfield, Pennsylvania
",Fairfield,39.7799,-77.3786
"Allegheny County Sheriff's Office (no box, but may call for drug pick-up)",15219,Allegheny,2,2,2,42,(412) 350-4700,Contact location for hours,"436 Grant St # 111
Pittsburgh, Pennsylvania
",Pittsburgh,40.4388,-79.9964
Borough of Baldwin Police Dept.,15227,Allegheny,2,2,2,42,(412) 882-9600,Contact location for hours,"3344 Churchview Avenue
Pittsburgh, Pennsylvania
",Pittsburgh,40.3834,-79.9569
Borough of Bellevue Police Dept.,15202,Allegheny,2,2,2,42,(412) 766-7400,Contact location for hours,"537 Bayne Avenue
Pittsburgh, Pennsylvania
",Pittsburgh,40.4968,-80.0563
Borough of Brentwood Police Dept.,15227,Allegheny,2,2,2,42,(412) 884-2600,Contact location for hours,"3624 Brownsville Road
Pittsburgh, Pennsylvania
",Pittsburgh,40.3732,-79.9759
Borough of Crafton Police Dept.,15205,Allegheny,2,2,2,42,(412) 921-2016,"Monday-Friday, 8:30am-5pm","100 Stotz Avenue
Crafton, Pennsylvania
",Crafton,40.4348,-80.0666
Borough of Dormont Police Dept.,15216,Allegheny,2,2,2,42,(412) 561-8900,"7 days a week, 7am-6pm","1444 Hillsdale Avenue, Suite 1
Pittsburgh, Pennsylvania
",Pittsburgh,40.3946,-80.0373
Borough of Green Tree Police Dept.,15220,Allegheny,2,2,2,42,(412) 921-8624,Contact location for hours,"10 West Manilla Avenue
Pittsburgh, Pennsylvania
",Pittsburgh,40.4188,-80.047
Borough of Green Tree Police Dept.,15220,Allegheny,2,2,2,42,(412) 921-8624,Contact location for hours,"10 West Manilla Avenue
Pittsburgh, Pennsylvania
",Pittsburgh,40.4188,-80.047
Borough of Jefferson Hills Police Dept.,15025,Allegheny,2,2,2,42,(412) 655-2222,Contact location for hours,"925 Old Clairton Road
Jefferson Hills, Pennsylvania
",Jefferson Hills,40.2975,-79.9299
Borough of Pitcairn Police Dept.,15140,Allegheny,2,2,2,42,(412) 867-1943,Contact location for hours,"580 Sixth Street
Pitcairn, Pennsylvania
",Pitcairn,40.4054,-79.7762
Borough of Sewickley Police Dept.,15143,Allegheny,2,2,2,42,(412) 473-3056,Contact location for hours,"601 Thorn Street
Sewickley, Pennsylvania
",Sewickley,40.5382,-80.1799
Castle Shannon Police Dept.,15234,Allegheny,2,2,2,42,(412) 885-6300,Contact location for hours,"3310 McRoberts Road
Castle Shannon, Pennsylvania
",Castle Shannon,40.3675,-80.0092
City of McKeesport Police Dept.,15132,Allegheny,2,2,2,42,(412) 675-5050,Contact location for hours,"201 Lysle Boulevard
McKeesport, Pennsylvania
",McKeesport,40.3516,-79.8664
Coraopolis Borough Police Dept.,15108,Allegheny,2,2,2,42,(412) 264-3000,Contact location for hours,"1012 Fifth Avenue
Coraopolis, Pennsylvania
",Coraopolis,40.5171,-80.164
Crescent Township Police Dept.,15046,Allegheny,2,2,2,42,(724) 457-8100,Contact location for hours,"225 Spring Run Road
Crescent, Pennsylvania
",Crescent,40.5552,-80.2221
East Pittsburgh Police Dept.,12112,Allegheny,2,2,2,42,(412) 824-0447,Contact location for hours,"811 Linden Avenue
East Pittsburgh, Pennsylvania
",East Pittsburgh,40.4005,-79.8351
Elizabeth Township Police Dept.,15037,Allegheny,2,2,2,42,(412) 751-7325,Contact location for hours,"522 Rock Run Road
Elizabeth, Pennsylvania
",Elizabeth,40.2712,-79.8233
Hilltop Pharmacy,15210,Allegheny,2,2,2,42,(412) 431-5766,Contact location for hours,"818 E. Warrington Avenue
Pittsburgh, Pennsylvania
",Pittsburgh,40.4217,-79.9929
Indiana Township Police Dept.,15238,Allegheny,2,2,2,42,(412) 767-5333,Contact location for hours,"3710 Saxonburg Boulevard
Pittsburgh, Pennsylvania
",Pittsburgh,40.5748,-79.8886
Leet Township Police Dept.,15003,Allegheny,2,2,2,42,(724) 266-6141,Contact location for hours,"198 Ambridge Avenue
Ambridge, Pennsylvania
",Ambridge,40.5835,-80.2096
Leetsdale Police Dept.,15056,Allegheny,2,2,2,42,(724) 266-4820 ,Contact location for hours,"373 Beaver Street, Suite B
Leetsdale, Pennsylvania
",Leetsdale,40.5661,-80.209
Monroeville Police Dept.,15146,Allegheny,2,2,2,42,(412) 343-3400,Contact location for hours,"2700 Monroeville Boulevard
Monroeville, Pennsylvania
",Monroeville,40.4359,-79.7797
Moon Twp. Police Dept.,15108,Allegheny,2,2,2,42,(412) 262-5000,"7 days a week, 24 hours a day","1000 Beaver Grade Rd
Moon, Pennsylvania
",Moon,40.5046,-80.2082
Mt. Lebanon Police Department,15228,Allegheny,2,2,2,42,(412) 343-4016,"7 days a week, 24 hours a day","555 Washington Road
Mt Lebanon, Pennsylvania
",Mt Lebanon,40.3834,-80.0435
Mt. Lebanon Police Dept.,15228,Allegheny,2,2,2,42,(412) 343-3400,Contact location for hours,"315 Cypress Way
Pittsburgh, Pennsylvania
",Pittsburgh,40.3755,-80.0373
North Versailles Police Department,15137,Allegheny,2,2,2,42,(412) 823-1111,Contact location for hours,"1401 Greensburg Ave Ste 2
North Versailles, Pennsylvania
",North Versailles,40.3893,-79.8193
Northern Regional Police Dept.,15090,Allegheny,2,2,2,42,(724) 625-3157,Contact location for hours,"230 Pearce Mill Road
Wexford, Pennsylvania
",Wexford,40.6609,-80.0332
Ohio Township Police Dept.,15143,Allegheny,2,2,2,42,(412) 259-8304,Contact location for hours,"126 Lenzner Court
Sewickley, Pennsylvania
",Sewickley,40.5553,-80.1078
Penn Hills Police Dept.,15235,Allegheny,2,2,2,42,(412) 795-3500,Contact location for hours,"12245 Frankstown Road
Pittsburgh, Pennsylvania
",Pittsburgh,40.4721,-79.8198
Pittsburgh Bureau of Police,15233,Allegheny,2,2,2,42,(412) 323-7837,"7 days a week, 24 hours a day","1203 Western Avenue
Pittsburgh, Pennsylvania
",Pittsburgh,40.4505,-80.0215
Ross Township Police Dept.,15237,Allegheny,2,2,2,42,(412) 931-9070,Contact location for hours,"1000 Ross Municipal Drive
Pittsburgh, Pennsylvania
",Pittsburgh,40.5159,-80.0066
South Fayette Township Police Dept.,15064,Allegheny,2,2,2,42,(412) 221-8700,"Monday-Friday, 8am-4:30pm","515 Millers Run Road
South Fayette, Pennsylvania
",South Fayette,40.3551,-80.1434
Springdale Borough Police Dept.,15144,Allegheny,2,2,2,42,(724) 274-9022,Contact location for hours,"325 School Street
Springdale, Pennsylvania
",Springdale,40.5422,-79.7784
State Police-Troop B / Pittsburgh,15108,Allegheny,2,2,2,42,NA,NA,"449 McCormick Rd.
Moon Township, Pennsylvania
",Moon Township,40.4789,-80.1942
Township of Hampton Police Dept.,15101,Allegheny,2,2,2,42,(412) 486-0400,Contact location for hours,"3101 McCully Road
Allison Park, Pennsylvania
",Allison Park,40.5856,-79.9337
Township of Shaler Police Dept.,15116,Allegheny,2,2,2,42,(412) 492-2222,Contact location for hours,"300 Wetzel Road
Glenshaw, Pennsylvania
",Glenshaw,40.5241,-79.97
West Mifflin Police Dept.,15122,Allegheny,2,2,2,42,(412) 461-0600,"7 days a week, 24 hours a day","1020 Lebanon Road
West Mifflin, Pennsylvania
",West Miffling,40.3618,-79.9331
West View Police Department,15229,Allegheny,2,2,2,42,(412) 931-2800,Contact location for hours,"441 Perry Hwy
Pittsburgh, Pennsylvania
",Pittsburgh,40.5199,-80.0329
Apollo Borough Police Dept.,15613,Armstrong,3,3,3,42,(724) 478-4201,Contact location for hours,"616D First Street
Apollo, Pennsylvania
",Apollo,40.5836,-79.5597
Armstrong County Memorial Hospital,16201,Armstrong,3,3,3,42,(724) 543-8448,Contact location for hours,"1 Nolte Drive
Kittanning, Pennsylvania
",Kittanning,40.8089,-79.5622
East Franklin Township Police Dept.,16201,Armstrong,3,3,3,42,(724) 543-1944,Contact location for hours,"106 Cherry Orchard Avenue
Kittaning, Pennsylvania
",Kittanning,40.8524,-79.5525
Ford City Police Dept.,16226,Armstrong,3,3,3,42,(724) 763-9024,Contact location for hours,"1000 4th Avenue
Ford City, Pennsylvania
",Ford City,40.7713,-79.5304
